ID,URI,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,MODELO
7179533,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7179533,APARCABICICLETAS,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,439821.28,4475442.14,ETRS89,40.42743917,-3.70944194,CALLE,AMANIEL,29,28015,28015,11006367,2020-01-10T00:00:00Z,DESCONOCIDO,MU21,MU-51
7179535,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7179535,APARCABICICLETAS,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,439815.7,4475413.88,ETRS89,40.42718419,-3.70950504,CALLE,AMANIEL,25,28015,28015,11006365,2020-01-10T00:00:00Z,DESCONOCIDO,MU21,MU-51
7179539,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7179539,APARCABICICLETAS,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,439850.75,4475034.4,ETRS89,40.4237682,-3.70905597,CALLE,ALAMO,6,28015,28015,11006789,2020-01-10T00:00:00Z,DESCONOCIDO,MU21,MU-51
7179545,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7179545,APARCABICICLETAS,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,439849.45,4475105.56,ETRS89,40.42440914,-3.70907803,PLAZA,CONDE DE TORENO,5,28015,28015,11006668,2020-01-10T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180031,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180031,APARCABICICLETAS,214,TIMON,21,BARAJAS,OPERATIVO,450414.84,4480412.26,ETRS89,40.47291202,-3.58495026,CALLE,TIMON,18,28042,DESCONOCIDO,11141244,2020-10-08T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180033,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180033,APARCABICICLETAS,205,ROSAS,20,SAN BLAS - CANILLEJAS,OPERATIVO,448480.42,4475008.06,ETRS89,40.42411003,-3.60733078,AVENIDA,GUADALAJARA,126,28022,DESCONOCIDO,31051637,2020-10-08T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180037,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180037,APARCABICICLETAS,146,VINATEROS,14,MORATALAZ,OPERATIVO,445686.1,4472709.02,ETRS89,40.40322119,-3.64007302,CALLE,HACIENDA DE PAVONES,127,28030,DESCONOCIDO,11102942,2020-10-09T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180039,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180039,APARCABICICLETAS,146,VINATEROS,14,MORATALAZ,OPERATIVO,445684.08,4472711.25,ETRS89,40.40324115,-3.64009701,CALLE,HACIENDA DE PAVONES,127,28030,DESCONOCIDO,11102942,2020-10-09T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180042,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180042,APARCABICICLETAS,144,MEDIA LEGUA,14,MORATALAZ,OPERATIVO,444327.46,4473804.17,ETRS89,40.41299719,-3.65617901,AVENIDA,DOCTOR GARCIA TAPIA,1,28030,DESCONOCIDO,11102090,2020-10-09T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180146,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180146,APARCABICICLETAS,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,440072.57,4475392.39,ETRS89,40.42700914,-3.70647503,CALLE,SAN BERNARDO,70,28015,28015,20006088,2020-10-07T00:00:00Z,DESCONOCIDO,MU21,MU-51
