Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,same_as_wikidata_distrito,Codi_Barri,Nom_Barri,same_as_wikidata_barrio,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
435232,CIM,Càmera mòbil,77,Mastil,4,Les Corts,https://www.wikidata.org/entity/Q959944,20,La Maternitat i Sant Ramon,https://www.wikidata.org/entity/Q3297056,425777020,4581809451,2.112287,41.3843892,"2011-03-04T00:00:00Z"
435233,CIF,Càmera fixa,132,Mastil,4,Les Corts,https://www.wikidata.org/entity/Q959944,20,La Maternitat i Sant Ramon,https://www.wikidata.org/entity/Q3297056,425777020,4581809451,2.112287,41.3843892,"2011-03-04T00:00:00Z"
435235,DOMO,Càmera mòbil,53,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,10,Sant Antoni,https://www.wikidata.org/entity/Q720994,429657700,4581521589,2.1587288,41.3821451,"2011-03-04T00:00:00Z"
435237,DOMO,Càmera mòbil,55,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,7,Dreta de l'Eixample,https://www.wikidata.org/entity/Q1904302,430177511,4581940611,2.1648967,41.3859645,"2011-03-04T00:00:00Z"
435378,CIM,Càmera mòbil,34,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,7,Dreta de l'Eixample,https://www.wikidata.org/entity/Q1904302,430681316,4582547768,2.1708523,41.3914763,"2011-03-11T00:00:00Z"
435382,CIF,Càmera fixa,18,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,65,El Clot,https://www.wikidata.org/entity/Q2979686,432045113,4584627186,2.1869301,41.4103218,"2011-03-11T00:00:00Z"
435593,CIF,Càmera fixa,120,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,61,La Sagrera,https://www.wikidata.org/entity/Q3773462,432068996,4585704220,2.1870949,41.4200237,"2011-03-22T00:00:00Z"
464853,DOMO,Càmera mòbil,64,Mastil,5,Sarrià-Sant Gervasi,https://www.wikidata.org/entity/Q1765582,26,Sant Gervasi-Galvany,https://www.wikidata.org/entity/Q3389521,427615072,4583441216,2.1340728,41.3992534,"2011-11-18T00:00:00Z"
465468,CIF,Càmera fixa,109,Mastil,3,Sants-Montjuïc,https://www.wikidata.org/entity/Q753075,16,La Bordeta,https://www.wikidata.org/entity/Q3753110,427731172,4579631544,2.1359159,41.364951,"2011-11-25T00:00:00Z"
470579,CIM,Càmera mòbil,61,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,65,El Clot,https://www.wikidata.org/entity/Q2979686,432040540,4584079061,2.186937,41.405384,"2012-02-17T00:00:00Z"
470630,DOMO,Càmera mòbil,63,Baculo,5,Sarrià-Sant Gervasi,https://www.wikidata.org/entity/Q1765582,24,Les Tres Torres,https://www.wikidata.org/entity/Q3297896,427097770,4583276031,2.1279051,41.3977189,"2012-02-20T00:00:00Z"
478561,CIF,Càmera fixa,123,Mastil,1,Ciutat Vella,https://www.wikidata.org/entity/Q941385,2,Gothic Quarter,https://www.wikidata.org/entity/Q17154,431616673,4581437444,2.1821647,41.381556,"2012-07-16T00:00:00Z"
478562,CIM,Càmera mòbil,19,Mastil,1,Ciutat Vella,https://www.wikidata.org/entity/Q941385,2,Gothic Quarter,https://www.wikidata.org/entity/Q17154,431616673,4581437444,2.1821647,41.381556,"2012-07-16T00:00:00Z"
478564,DOMO,Càmera mòbil,62,Mastil,4,Les Corts,https://www.wikidata.org/entity/Q959944,20,La Maternitat i Sant Ramon,https://www.wikidata.org/entity/Q3297056,427102853,4581565358,2.1281717,41.3823123,"2012-07-16T00:00:00Z"
478566,CIF,Càmera fixa,213,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434149871,4584788156,2.2120934,41.4119468,"2012-07-16T00:00:00Z"
478568,CIF,Càmera fixa,214,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434149605,4584754655,2.2120939,41.4116452,"2012-07-16T00:00:00Z"
478573,CIF,Càmera fixa,216,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,68,El Poblenou,https://www.wikidata.org/entity/Q1404773,433191098,4583437529,2.2007717,41.399703,"2012-07-16T00:00:00Z"
478575,CIF,Càmera fixa,217,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,68,El Poblenou,https://www.wikidata.org/entity/Q1404773,433163782,4583439341,2.2004448,41.3997172,"2012-07-16T00:00:00Z"
478577,CIF,Càmera fixa,221,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,68,El Poblenou,https://www.wikidata.org/entity/Q1404773,433763013,4584001557,2.2075511,41.40483,"2012-07-16T00:00:00Z"
478579,CIF,Càmera fixa,220,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,68,El Poblenou,https://www.wikidata.org/entity/Q1404773,433729248,4583998706,2.2071475,41.4048011,"2012-07-16T00:00:00Z"
478581,CIF,Càmera fixa,222,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,433572571,4584198365,2.2052513,41.4065871,"2012-07-16T00:00:00Z"
478583,CIF,Càmera fixa,223,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434014439,4584312047,2.210525,41.4076476,"2012-07-16T00:00:00Z"
478585,CIF,Càmera fixa,224,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434015130,4584277021,2.2105371,41.4073321,"2012-07-16T00:00:00Z"
478597,CIF,Càmera fixa,226,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,66,El Parc i la Llacuna del Poblenou,https://www.wikidata.org/entity/Q3294440,432442068,4583667110,2.1917864,41.4017079,"2012-07-16T00:00:00Z"
