ANO,MES,DIA,PROVINCIA,MUNICIPIO,NUMERO_MUNICIPIO,NOMBRE_MUNICIPIO,same_as_wikidata_madrid,ESTACION,UBICACION,same_as_wikidata_madrid_landmarks,MAGNITUD,PUNTO_MUESTREO,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,48,Castellana,http://wikidata.org/entity/Q4781,12,28079048_12_8,9,7,6,5,4,4,5,4,6,7,7,10,9,9,10,6,5,8,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,49,El Retiro Park,http://wikidata.org/entity/Q1131807,7,28079049_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,49,El Retiro Park,http://wikidata.org/entity/Q1131807,8,28079049_8_8,3,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,49,El Retiro Park,http://wikidata.org/entity/Q1131807,12,28079049_12_8,5,4,4,3,3,3,3,4,4,4,4,4,3,3,4,3,3,3,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,49,El Retiro Park,http://wikidata.org/entity/Q1131807,14,28079049_14_6,42,37,33,30,30,27,25,24,25,24,24,23,28,33,34,37,40,39,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,50,plaza de Castilla,http://wikidata.org/entity/Q786291,7,28079050_7_8,1,1,1,2,1,1,3,1,2,2,3,5,4,3,4,5,3,2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,50,plaza de Castilla,http://wikidata.org/entity/Q786291,8,28079050_8_8,16,13,12,12,7,6,13,10,13,14,14,16,15,17,21,24,20,19,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,50,plaza de Castilla,http://wikidata.org/entity/Q786291,9,28079050_9_47,8,8,9,13,22,22,23,31,29,27,29,30,33,27,26,30,24,23,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,50,plaza de Castilla,http://wikidata.org/entity/Q786291,10,28079050_10_47,20,24,30,40,56,60,64,83,84,82,85,87,87,70,67,69,58,54,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,50,plaza de Castilla,http://wikidata.org/entity/Q786291,12,28079050_12_8,18,15,14,14,8,7,17,11,16,17,18,24,21,22,26,33,25,22,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
