ANO,MES,DIA,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
2024,10,06,28,079,8,12,28079008_12_8,21,17,16,12,10,10,11,12,14,18,18,21,25,22,20,15,15,17,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,8,14,28079008_14_6,34,31,28,26,26,26,23,21,22,20,21,19,23,27,29,32,35,34,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,8,20,28079008_20_59,0.9,0.3,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.7,0.6,0.1,0.2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,8,30,28079008_30_59,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,8,35,28079008_35_59,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,11,7,28079011_7_8,2,1,1,1,1,1,1,1,1,2,2,3,3,3,4,3,3,3,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,11,8,28079011_8_8,6,3,3,2,2,2,2,3,4,5,4,5,4,5,6,5,4,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,11,12,28079011_12_8,9,5,4,3,3,4,3,5,6,8,7,9,8,10,11,9,9,10,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,16,7,28079016_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,16,8,28079016_8_8,7,6,4,4,4,5,5,6,7,7,6,6,5,5,6,5,4,6,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,16,12,28079016_12_8,9,7,6,5,5,6,6,8,9,8,7,8,7,7,8,7,6,8,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,16,14,28079016_14_6,36,33,29,25,24,23,21,18,18,18,19,19,23,27,28,30,33,31,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,17,7,28079017_7_8,4,2,2,2,1,2,2,2,1,3,4,4,4,4,4,4,4,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,17,8,28079017_8_8,10,7,5,4,4,5,5,5,5,6,6,6,6,6,7,6,6,7,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,17,12,28079017_12_8,16,9,8,7,6,8,8,7,8,10,12,13,12,13,13,12,12,12,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,17,14,28079017_14_6,36,34,32,30,29,27,25,25,25,23,22,22,26,29,29,31,32,33,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,18,7,28079018_7_8,1,1,1,1,1,1,1,1,1,3,4,2,3,2,2,2,2,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,18,8,28079018_8_8,8,6,4,3,3,4,4,5,5,7,7,6,5,5,7,5,5,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,18,10,28079018_10_47,19,25,35,53,66,66,77,98,92,86,98,114,109,92,83,75,75,71,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,18,12,28079018_12_8,9,8,6,5,5,5,6,7,7,11,13,9,9,8,10,8,8,7,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,18,14,28079018_14_6,39,35,34,30,29,28,26,24,25,23,23,23,27,32,31,35,37,37,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,18,20,28079018_20_59,1.3,1.1,0.9,0.9,1,1,0.8,1,1,1.4,1.7,1,1.1,1.2,1,0.9,0.8,0.9,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,18,30,28079018_30_59,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,18,35,28079018_35_59,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.2,0.2,0.1,0.2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,24,7,28079024_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,24,8,28079024_8_8,3,2,2,1,2,2,1,2,4,3,2,2,1,1,2,2,1,2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,24,9,28079024_9_47,5,7,10,14,18,19,24,27,25,24,24,26,27,22,21,17,18,18,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,24,10,28079024_10_47,13,17,25,37,50,51,61,73,70,65,67,76,77,64,61,55,53,52,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,24,12,28079024_12_8,4,3,3,3,3,4,3,3,5,5,4,4,3,3,4,4,3,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,24,14,28079024_14_6,45,41,37,33,31,31,29,28,28,27,28,27,32,36,37,40,42,43,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,27,7,28079027_7_8,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,27,8,28079027_8_8,7,5,3,3,3,4,4,4,6,7,6,6,4,4,5,4,3,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,27,12,28079027_12_8,9,6,5,5,5,5,5,6,8,10,10,8,7,7,6,5,5,6,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,27,14,28079027_14_6,44,40,35,30,29,29,26,25,25,23,24,25,30,35,36,38,39,39,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,35,1,28079035_1_38,3,4,4,4,4,3,3,3,3,2,3,3,4,4,3,4,4,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,35,6,28079035_6_48,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,35,7,28079035_7_8,2,1,2,1,1,1,1,1,1,2,2,2,3,3,2,2,2,2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,35,8,28079035_8_8,8,5,5,4,3,5,3,4,5,5,5,5,5,5,5,4,3,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,35,12,28079035_12_8,10,7,8,6,5,7,6,6,7,8,9,9,9,9,9,7,6,7,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,35,14,28079035_14_6,38,36,31,29,28,27,25,24,24,23,24,23,27,32,33,36,39,39,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,36,1,28079036_1_38,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,36,7,28079036_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,36,8,28079036_8_8,10,6,4,3,3,3,3,5,4,5,5,4,3,4,4,4,3,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,36,10,28079036_10_47,20,23,32,46,69,64,70,92,92,94,97,102,106,88,77,75,77,69,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,36,12,28079036_12_8,12,8,5,5,5,4,5,7,6,6,6,5,4,6,6,6,5,6,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,38,7,28079038_7_8,2,1,1,1,1,1,1,1,4,3,5,4,4,4,4,3,3,3,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,38,8,28079038_8_8,6,4,4,3,3,4,3,4,7,6,5,4,5,5,5,5,4,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,38,9,28079038_9_47,4,8,14,20,33,27,32,37,35,31,32,34,37,30,30,30,25,34,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,38,10,28079038_10_47,11,17,26,38,58,52,60,71,69,60,63,68,72,60,60,57,50,60,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,38,12,28079038_12_8,8,6,6,5,4,5,5,6,13,11,13,10,12,11,12,9,8,9,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,38,20,28079038_20_59,0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.4,0.5,0.5,0.5,0.5,0.4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,38,30,28079038_30_59,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,38,35,28079038_35_59,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,39,7,28079039_7_8,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,2,2,2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,39,8,28079039_8_8,8,6,5,4,2,2,3,4,5,6,6,6,6,7,6,5,5,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,39,12,28079039_12_8,10,8,6,6,4,4,4,5,7,9,9,11,11,12,10,8,7,8,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,39,14,28079039_14_6,39,36,32,28,29,29,26,23,23,23,23,23,25,30,33,36,37,38,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,40,7,28079040_7_8,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,40,8,28079040_8_8,10,6,4,4,4,4,5,6,6,6,6,6,5,5,6,5,4,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,40,10,28079040_10_47,20,21,32,45,61,57,64,79,87,91,97,104,102,84,76,70,70,69,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,40,12,28079040_12_8,11,8,6,6,5,6,6,7,8,9,8,8,8,9,9,7,5,7,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,47,7,28079047_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,47,8,28079047_8_8,6,5,4,3,3,4,4,4,5,5,5,4,4,4,4,3,3,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,47,9,28079047_9_47,5,3,8,11,15,13,14,21,18,17,18,22,21,24,25,19,12,9,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,47,10,28079047_10_47,12,13,21,31,45,40,43,61,59,56,59,68,68,73,62,53,42,39,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,47,12,28079047_12_8,8,7,6,5,5,6,5,6,6,7,6,6,5,5,5,5,4,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,48,7,28079048_7_8,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,48,8,28079048_8_8,8,6,4,3,3,3,3,3,5,6,5,7,7,7,8,5,4,7,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,48,9,28079048_9_47,12,15,19,24,30,34,36,43,42,36,37,43,39,34,36,35,35,32,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,48,10,28079048_10_47,20,25,33,45,58,63,69,82,82,74,76,86,83,69,71,66,73,36,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,48,12,28079048_12_8,9,7,6,5,4,4,5,4,6,7,7,10,9,9,10,6,5,8,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,49,7,28079049_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,49,8,28079049_8_8,3,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,49,12,28079049_12_8,5,4,4,3,3,3,3,4,4,4,4,4,3,3,4,3,3,3,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,49,14,28079049_14_6,42,37,33,30,30,27,25,24,25,24,24,23,28,33,34,37,40,39,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,50,7,28079050_7_8,1,1,1,2,1,1,3,1,2,2,3,5,4,3,4,5,3,2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,50,8,28079050_8_8,16,13,12,12,7,6,13,10,13,14,14,16,15,17,21,24,20,19,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,50,9,28079050_9_47,8,8,9,13,22,22,23,31,29,27,29,30,33,27,26,30,24,23,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,50,10,28079050_10_47,20,24,30,40,56,60,64,83,84,82,85,87,87,70,67,69,58,54,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,50,12,28079050_12_8,18,15,14,14,8,7,17,11,16,17,18,24,21,22,26,33,25,22,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,54,7,28079054_7_8,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,54,8,28079054_8_8,7,4,4,3,3,3,4,4,4,5,4,4,2,3,3,2,1,3,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,54,12,28079054_12_8,8,6,5,5,4,5,6,6,6,7,7,7,5,6,5,4,3,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,54,14,28079054_14_6,39,36,32,29,29,27,24,23,25,22,22,22,27,32,33,34,36,36,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,55,7,28079055_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,55,8,28079055_8_8,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,55,10,28079055_10_47,16,20,28,46,62,59,62,79,81,75,72,76,82,70,63,65,60,58,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,55,12,28079055_12_8,4,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,55,20,28079055_20_59,1.3,0.9,1,0.7,0.7,0.7,1,0.9,0.9,1.2,1.2,1.2,1.2,0.8,0.9,0.9,1,0.6,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,55,30,28079055_30_59,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,55,35,28079055_35_59,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,56,6,28079056_6_48,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,56,7,28079056_7_8,2,2,2,1,1,1,1,1,2,3,5,5,4,4,5,4,4,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,56,8,28079056_8_8,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,56,9,28079056_9_47,5,7,6,10,3,9,13,13,10,3,29,27,19,17,16,14,15,20,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,56,10,28079056_10_47,9,15,19,24,16,23,36,42,36,25,57,61,51,50,44,38,40,44,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,56,12,28079056_12_8,6,4,4,3,3,3,3,3,3,6,9,8,7,7,9,7,7,7,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,57,7,28079057_7_8,1,1,1,1,1,1,1,1,2,1,2,2,2,3,3,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
