Año,Mes,same_as_wikidata_month,Lote,Residuo,Distrito,Nombre distrito,same_as_wikidata_distrito,Total,ID
2024,January,https://wikidata.org/entity/Q108,2,Carton Comercial,19,Vicálvaro,https://wikidata.org/entity/Q589403,27.82,"2024-Enero-19-2-Carton Comercial"
2024,January,https://wikidata.org/entity/Q108,2,Carton Comercial,21,Barajas,https://wikidata.org/entity/Q807230,34.98,"2024-Enero-21-2-Carton Comercial"
2024,January,https://wikidata.org/entity/Q108,2,Clinicos,3,Retiro,https://wikidata.org/entity/Q2002296,202.62,"2024-Enero-3-2-Clinicos"
2024,January,https://wikidata.org/entity/Q108,2,Clinicos,4,Salamanca,https://wikidata.org/entity/Q1773521,124.08,"2024-Enero-4-2-Clinicos"
2024,January,https://wikidata.org/entity/Q108,2,Clinicos,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,138.98,"2024-Enero-15-2-Clinicos"
2024,January,https://wikidata.org/entity/Q108,2,Envases,3,Retiro,https://wikidata.org/entity/Q2002296,367.94,"2024-Enero-3-2-Envases"
2024,January,https://wikidata.org/entity/Q108,2,Envases,4,Salamanca,https://wikidata.org/entity/Q1773521,527.82,"2024-Enero-4-2-Envases"
2024,January,https://wikidata.org/entity/Q108,2,Envases,5,Chamartín,https://wikidata.org/entity/Q1766348,497.14,"2024-Enero-5-2-Envases"
2024,January,https://wikidata.org/entity/Q108,2,Envases,14,Moratalaz,https://wikidata.org/entity/Q2076109,296.7,"2024-Enero-14-2-Envases"
2024,January,https://wikidata.org/entity/Q108,2,Envases,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,791.58,"2024-Enero-15-2-Envases"
2024,January,https://wikidata.org/entity/Q108,2,Envases,16,Hortaleza,https://wikidata.org/entity/Q1928529,703.5,"2024-Enero-16-2-Envases"
2024,January,https://wikidata.org/entity/Q108,2,Envases,19,Vicálvaro,https://wikidata.org/entity/Q589403,300.62,"2024-Enero-19-2-Envases"
2024,January,https://wikidata.org/entity/Q108,2,Envases,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,546.02,"2024-Enero-20-2-Envases"
2024,January,https://wikidata.org/entity/Q108,2,Envases,21,Barajas,https://wikidata.org/entity/Q807230,187.9,"2024-Enero-21-2-Envases"
2024,January,https://wikidata.org/entity/Q108,2,Organica,3,Retiro,https://wikidata.org/entity/Q2002296,937.74,"2024-Enero-3-2-Organica"
2024,January,https://wikidata.org/entity/Q108,2,Organica,4,Salamanca,https://wikidata.org/entity/Q1773521,1612.26,"2024-Enero-4-2-Organica"
2024,January,https://wikidata.org/entity/Q108,2,Organica,5,Chamartín,https://wikidata.org/entity/Q1766348,1323.16,"2024-Enero-5-2-Organica"
2024,January,https://wikidata.org/entity/Q108,2,Organica,14,Moratalaz,https://wikidata.org/entity/Q2076109,319.4,"2024-Enero-14-2-Organica"
2024,January,https://wikidata.org/entity/Q108,2,Organica,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,1098.8,"2024-Enero-15-2-Organica"
2024,January,https://wikidata.org/entity/Q108,2,Organica,16,Hortaleza,https://wikidata.org/entity/Q1928529,1171.5,"2024-Enero-16-2-Organica"
2024,January,https://wikidata.org/entity/Q108,2,Organica,19,Vicálvaro,https://wikidata.org/entity/Q589403,833.68,"2024-Enero-19-2-Organica"
2024,January,https://wikidata.org/entity/Q108,2,Organica,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,1044.72,"2024-Enero-20-2-Organica"
2024,January,https://wikidata.org/entity/Q108,2,Organica,21,Barajas,https://wikidata.org/entity/Q807230,537.42,"2024-Enero-21-2-Organica"
2024,January,https://wikidata.org/entity/Q108,2,Papel-carton,3,Retiro,https://wikidata.org/entity/Q2002296,292.22,"2024-Enero-3-2-Papel-carton"
2024,January,https://wikidata.org/entity/Q108,2,Papel-carton,4,Salamanca,https://wikidata.org/entity/Q1773521,663.06,"2024-Enero-4-2-Papel-carton"
2024,January,https://wikidata.org/entity/Q108,2,Papel-carton,5,Chamartín,https://wikidata.org/entity/Q1766348,349.64,"2024-Enero-5-2-Papel-carton"
2024,January,https://wikidata.org/entity/Q108,2,Papel-carton,14,Moratalaz,https://wikidata.org/entity/Q2076109,237.08,"2024-Enero-14-2-Papel-carton"
2024,January,https://wikidata.org/entity/Q108,2,Papel-carton,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,352.48,"2024-Enero-15-2-Papel-carton"
2024,January,https://wikidata.org/entity/Q108,2,Papel-carton,16,Hortaleza,https://wikidata.org/entity/Q1928529,471.86,"2024-Enero-16-2-Papel-carton"
2024,January,https://wikidata.org/entity/Q108,2,Papel-carton,19,Vicálvaro,https://wikidata.org/entity/Q589403,90.84,"2024-Enero-19-2-Papel-carton"
2024,January,https://wikidata.org/entity/Q108,2,Papel-carton,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,394.1,"2024-Enero-20-2-Papel-carton"
2024,January,https://wikidata.org/entity/Q108,2,Papel-carton,21,Barajas,https://wikidata.org/entity/Q807230,119.92,"2024-Enero-21-2-Papel-carton"
2024,January,https://wikidata.org/entity/Q108,2,Pilas,3,Retiro,https://wikidata.org/entity/Q2002296,0.040263253,"2024-Enero-3-2-Pilas"
2024,January,https://wikidata.org/entity/Q108,2,Pilas,4,Salamanca,https://wikidata.org/entity/Q1773521,0.102171421,"2024-Enero-4-2-Pilas"
2024,January,https://wikidata.org/entity/Q108,2,Pilas,5,Chamartín,https://wikidata.org/entity/Q1766348,0.107653111,"2024-Enero-5-2-Pilas"
2024,January,https://wikidata.org/entity/Q108,2,Pilas,14,Moratalaz,https://wikidata.org/entity/Q2076109,0.05265839,"2024-Enero-14-2-Pilas"
2024,January,https://wikidata.org/entity/Q108,2,Pilas,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,0.09518265,"2024-Enero-15-2-Pilas"
2024,January,https://wikidata.org/entity/Q108,2,Pilas,16,Hortaleza,https://wikidata.org/entity/Q1928529,0.185081267,"2024-Enero-16-2-Pilas"
