Distrito,same_as_wikidata_distrito,Apartado,Número de archivo,Denominación,Situación
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12000,QUIOSCO DE BEBIDAS Nº 2. PARQUE CASA DE CAMPO,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12001,QUIOSCO DE BEBIDAS Nº 4. PARQUE CASA DE CAMPO,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12002,QUIOSCO DE BEBIDAS Nº 5. PARQUE CASA DE CAMPO,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12003,QUIOSCO DE BEBIDAS Nº 6. PARQUE CASA DE CAMPO,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12026,"QUIOSCO DE BEBIDAS Nº 10 BAR-MERENDERO LA MANZANA (ANTIGUA DENOMINACIÓN ""EL FARO"").",MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12028,"QUIOSCO DE BEBIDAS Nº 17 BAR-MERENDERO (ANTIGUA DENOMINACIÓN ""PUERTA DEL BATÁN"").",JUNTO A LA SALIDA DEL METRO DE BATAN. MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12042,ESTABLECIEMIENTO DE HOSTELERÍA Y RESTAURACIÓN,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12043,ESTABLECIEMIENTO DE HOSTELERÍA Y RESTAURACIÓN,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12060,ESTABLECIEMIENTO DE HOSTELERÍA Y RESTAURACIÓN,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12080,ESTABLECIMIENTO DE HOSTELERÍA Y RESTAURACIÓN,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,INSTALACIONES DE RESTAURACIÓN,12081,ESTABLECIMIENTO DE HOSTELERÍA Y RESTAURACIÓN,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,OTRAS CONCESIONES Y AUTORIZACIONES,15000,PARQUE DE ATRACCIONES,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,OTRAS CONCESIONES Y AUTORIZACIONES,15001,PARQUE ZOOLOGICO,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,OTRAS CONCESIONES Y AUTORIZACIONES,15037,RECINTO FERIAL,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,OTRAS CONCESIONES Y AUTORIZACIONES,12082,SUBESTACIÓN TRASNFORMADORA ELÉCTRICA,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,HUERTOS URBANOS,12115,HUERTO COMUNITARIO HUERTA SOLAR,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,HUERTOS URBANOS,12116,HUERTO COMUNITARIO LA ROSA FUERA DEL TIESTO,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,HUERTOS URBANOS,12117,HUERTO COMUNITARIO LA BOMBILLA,MONCLOA-ARAVACA
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,HUERTOS URBANOS,12121,HUERTO COMUNITARIO DEHESA DE LA VILLA,MONCLOA-ARAVACA
Latina,https://wikidata.org/entity/Q794954,INSTALACIONES DE RESTAURACIÓN,12057,MADRID RÍO-GRUPO NORTE (CAFÉ-BAR PUENTE SEGOVIA Y CAFETERÍA PRESA Nº 6),CAFÉ-BAR PUENTE DE SEGOVIA AL SUR DEL PUENTE DE SEGOVIA;CAFETERÍA PRESA Nº 6 A LA ALTURA DE LA PRESA Nº 6. LATINA
Latina,https://wikidata.org/entity/Q794954,INSTALACIONES DE RESTAURACIÓN,12089,MADRID RÍO CAFÉ SEGOVIA,LATINA
Latina,https://wikidata.org/entity/Q794954,INSTALACIONES DE RESTAURACIÓN,12090,MADRID RÍO CAFÉ ANDORRA,LATINA
Latina,https://wikidata.org/entity/Q794954,OTRAS CONCESIONES Y AUTORIZACIONES,12077,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,LATINA
Latina,https://wikidata.org/entity/Q794954,OTRAS CONCESIONES Y AUTORIZACIONES,12095,CENTRO ELÉCTRICO DE TRANSFORMACIÓN,LATINA
Latina,https://wikidata.org/entity/Q794954,OTRAS CONCESIONES Y AUTORIZACIONES,12096,CENTRO DE TRANSFORMACIÓN  ELÉCTRICO,LATINA
Latina,https://wikidata.org/entity/Q794954,OTRAS CONCESIONES Y AUTORIZACIONES,12098,CENTRO DE TRANSFORMACIÓN  ELÉCTRICA,LATINA
Latina,https://wikidata.org/entity/Q794954,OTRAS CONCESIONES Y AUTORIZACIONES,12099,CENTRO DE TRANSFORMACIÓN  ELÉCTRICA,LATINA
Latina,https://wikidata.org/entity/Q794954,OTRAS CONCESIONES Y AUTORIZACIONES,12100,CENTRO DE TRANSFORMACIÓN  ELÉCTRICA,LATINA
Latina,https://wikidata.org/entity/Q794954,HUERTOS URBANOS,12123,HUERTO COMUNITARIO BATÁN,LATINA
Latina,https://wikidata.org/entity/Q794954,HUERTOS URBANOS,12124,HUERTO COMUNITARIO LUCERO,LATINA
Latina,https://wikidata.org/entity/Q794954,HUERTOS URBANOS,12125,HUERTO COMUNITARIO HUERTA SOLIDARIA RSP,LATINA
Latina,https://wikidata.org/entity/Q794954,HUERTOS URBANOS,12126,HUERTO COMUNITARIO LAS CRUCES,LATINA
Carabanchel,https://wikidata.org/entity/Q1001991,INSTALACIONES DE RESTAURACIÓN,12016,QUIOSCO DE BEBIDAS Nº 5,CARABANCHEL
Carabanchel,https://wikidata.org/entity/Q1001991,INSTALACIONES DE RESTAURACIÓN,12030,QUIOSCO DE BEBIDAS Nº 4,CARABANCHEL
Carabanchel,https://wikidata.org/entity/Q1001991,INSTALACIONES DE RESTAURACIÓN,12038,BAR-MERENDERO,CARABANCHEL
Carabanchel,https://wikidata.org/entity/Q1001991,INSTALACIONES DE RESTAURACIÓN,12055,MADRID RÍO-GRUPO SUR 1 (CAFETERÍA PASAJE DE MONTSERRAT).,"MARGEN DERECHA DEL RÍO MANZANARES, FRENTE A LA AVENIDA MANZANARES ALNORTE DEL PASAJE DE MONTSERRAT Y NUEVA PASARELA SINGULAR PEATONAL. CARABANCHEL"
Carabanchel,https://wikidata.org/entity/Q1001991,INSTALACIONES DE RESTAURACIÓN,12061,QUIOSCO DE BEBIDAS,CARABANCHEL
Carabanchel,https://wikidata.org/entity/Q1001991,INSTALACIONES DE RESTAURACIÓN,12088,MADRID RÍO CAFÉ TOLEDO,CARABANCHEL
Carabanchel,https://wikidata.org/entity/Q1001991,INSTALACIONES DE RESTAURACIÓN,12093,MADRID RÍO CAFÉ MONTSERRAT,CARABANCHEL
Carabanchel,https://wikidata.org/entity/Q1001991,INSTALACIONES DEPORTIVAS,13020,INSTALACIÓN DEPORTIVA MUNICIPAL DE PÁDEL,CARABANCHEL
Carabanchel,https://wikidata.org/entity/Q1001991,HUERTOS URBANOS,12127,HUERTO COMUNITARIO EL TOBOSO,CARABANCHEL
