Distrito;Subepígrafe;Apartado;Número de archivo;Denominación;Situación
SALAMANCA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15.043;SUBESTACIÓN TRANSFORMADORA ELÉCTRICA SUBTERRÁNEA DENOMINADA S.T. TOREROS. DISTRITO SALAMANCA                                                                                                              ; SALAMANCA
SALAMANCA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.106;HUERTO COMUNITARIO SANCHO DÁVILA                                                                                                                                                                          ; SALAMANCA
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12020;QUIOSCO PERMANENTE DE BEBIDAS Y COMIDAS                                                                                                                                                                   ; CHAMARTÍN
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12022;QUIOSCO PERMANENTE DE BEBIDAS Y COMIDAS                                                                                                                                                                   ; CHAMARTÍN
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12033;QUIOSCO PERMANENTE DE BEBIDAS Y COMIDAS                                                                                                                                                                   ; CHAMARTÍN
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.078;QUIOSCO DE BEBIDAS Y COMIDAS SITUADO EN LA CALLE PADRE CLARET                                                                                                                                             ; CHAMARTÍN
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.079;QUIOSCO PERMANENTE DE BEBIDAS Y COMIDAS SITUADO EN LA CALLE FEDERICO SALMÓN                                                                                                                               ; CHAMARTÍN
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.083;QUIOSCO PERMANENTE DE COMIDAS Y BEBIDAS                                                                                                                                                                   ; CHAMARTÍN
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.169;QUIOSCO DE TEMPORADA DE BEBIDAS                                                                                                                                                                           ; CHAMARTÍN
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13003;INSTALACIÓN DEPORTIVA BÁSICA                                                                                                                                                                              ; CHAMARTÍN
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.107;HUERTO COMUNITARIO 40 FANEGAS                                                                                                                                                                             ; CHAMARTÍN
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.108;HUERTO COMUNITARIO TÓMATELO CON CALMA                                                                                                                                                                     ; CHAMARTÍN
CHAMARTÍN                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.120;HUERTO COMUNITARIO LA GAUDAZNI                                                                                                                                                                            ; CHAMARTÍN
TETUÁN                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15034;Centro de transformación eléctrica                                                                                                                                                                        ; TETUÁN
TETUÁN                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.109;HUERTO COMUNITARIO ZULOAGA                                                                                                                                                                                ; TETUÁN
CHAMBERÍ                                                    ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12044;QUIOSCO DE BEBIDAS                                                                                                                                                                                        ; CHAMBERÍ
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12049;Edificio de restauración Mc Donald's                                                                                                                                                                      ; FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.063;QUIOSCO A, BAR RESTAURANTE                                                                                                                                                                                ; FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.064;QUIOSCO B CAFETERÍA RESTAURACIÓN RÁPIDA                                                                                                                                                                   ; FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15006;INMUEBLE                                                                                                                                                                                                  ;FINCA MUNICIPAL FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15017;INMUEBLE                                                                                                                                                                                                  ; FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15018;SUBESTACIÓN ELÉCTRICA PROVISIONAL                                                                                                                                                                         ; FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15035;ESTACIÓN DE GAS NATURAL EN SUBSUELO                                                                                                                                                                       ; FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.110;HUERTO COMUNITARIO MONTECARMELO                                                                                                                                                                           ; FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.111;HUERTO COMUNITARIO MONTECARMELO II                                                                                                                                                                        ; FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.112;HUERTO COMUNITARIO FUENTE DE LA CARRA                                                                                                                                                                     ; FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.113;HUERTO COMUNITARIO HUERKARRAL                                                                                                                                                                             ; FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.114;HUERTO COMUNITARIO TABLAO DE LA COMPOSTURA                                                                                                                                                                ; FUENCARRAL-EL PARDO
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12000;QUIOSCO DE BEBIDAS Nº 2. PARQUE CASA DE CAMPO                                                                                                                                                             ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12001;QUIOSCO DE BEBIDAS Nº 4. PARQUE CASA DE CAMPO                                                                                                                                                             ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12002;QUIOSCO DE BEBIDAS Nº 5. PARQUE CASA DE CAMPO                                                                                                                                                             ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12003;QUIOSCO DE BEBIDAS Nº 6. PARQUE CASA DE CAMPO                                                                                                                                                             ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12026;"QUIOSCO DE BEBIDAS Nº 10 BAR-MERENDERO LA MANZANA (ANTIGUA DENOMINACIÓN ""EL FARO"").                                                                                                                       "; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12028;"QUIOSCO DE BEBIDAS Nº 17 BAR-MERENDERO (ANTIGUA DENOMINACIÓN ""PUERTA DEL BATÁN"").                                                                                                                         ";JUNTO A LA SALIDA DEL METRO DE BATAN. MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12042;ESTABLECIEMIENTO DE HOSTELERÍA Y RESTAURACIÓN                                                                                                                                                             ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12043;ESTABLECIEMIENTO DE HOSTELERÍA Y RESTAURACIÓN                                                                                                                                                             ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12060;ESTABLECIEMIENTO DE HOSTELERÍA Y RESTAURACIÓN                                                                                                                                                             ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.080;ESTABLECIMIENTO DE HOSTELERÍA Y RESTAURACIÓN                                                                                                                                                              ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.081;ESTABLECIMIENTO DE HOSTELERÍA Y RESTAURACIÓN                                                                                                                                                              ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15000;PARQUE DE ATRACCIONES                                                                                                                                                                                     ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15001;PARQUE ZOOLOGICO                                                                                                                                                                                          ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15037;RECINTO FERIAL                                                                                                                                                                                            ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;12.082;SUBESTACIÓN TRASNFORMADORA ELÉCTRICA                                                                                                                                                                      ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.115;HUERTO COMUNITARIO HUERTA SOLAR                                                                                                                                                                           ; MONCLOA-ARAVACA
