PK,NOMBRE,HORARIO,DESCRIPCION,NOMBRE_CALLE,NUM,BARRIO,DISTRITO
13476,Aparcamiento mixto. Recoletos,,Plazas: 102 públicas y 289 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida al Paseo de Recoletos 1 aseo accesible Plaza para minusválidos residentes: 10   Abierto 24 horas   Titularidad : Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información),PASEO RECOLETOS,4,RECOLETOS,SALAMANCA
24193,Aparcamiento mixto. República Dominicana,,Plazas: 209 públicas y 892 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,PLAZA REPUBLICA DOMINICANA,6,NUEVA ESPAÑA,CHAMARTIN
81828,Aparcamiento mixto. Reyes Magos,,Plazas: 356 públicas y 345 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,PLAZA REYES MAGOS,,NIÑO JESUS,RETIRO
167692,Aparcamiento mixto. San Cayetano,,Plazas: 222 públicas y 261 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,PLAZA SAN CAYETANO,1,GUINDALERA,SALAMANCA
13515,Aparcamiento mixto. San Germán II (antes General Yagüe),,Plazas: 419 públicas y 713 residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE ORENSE,48,CASTILLEJOS,TETUAN
19053,Aparcamiento mixto. Sánchez Bustillo,,Plazas: 131 públicas y 408 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE SANCHEZ BUSTILLO,,EMBAJADORES,CENTRO
7416748,Aparcamiento mixto. Serrano I,,Plazas: 307 públicas y 833 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE SERRANO,84,CASTELLANA,SALAMANCA
7417028,Aparcamiento mixto. Serrano II,,Plazas: 379 públicas y 804 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE SERRANO,44,RECOLETOS,SALAMANCA
7417052,Aparcamiento mixto. Serrano III,,Plazas: 261 públicas y 725 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE SERRANO,2,RECOLETOS,SALAMANCA
13460,Aparcamiento mixto. Sevilla,,Plazas: 649 públicas rotacionales y 74 para residentes Abierto 24 horas Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid,CALLE ALCALA,15,SOL,CENTRO
13458,Aparcamiento mixto. Velázquez - Ayala,,Plazas: 443 públicas y 230 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,CALLE VELAZQUEZ,47,RECOLETOS,SALAMANCA
13457,Aparcamiento mixto. Velázquez - Jorge Juan,,Plazas: 548 públicas y 395 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,CALLE VELAZQUEZ,1,RECOLETOS,SALAMANCA
