District,ONS code,Region,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08
South Holland,32UF,E Midlands,,175,272,371,243,63,24,8.0
South Kesteven,32UG,E Midlands,148,221,346,236,,80,45,
South Lakeland,16UG,North West,325,403,,131,96,39,35,21.0
South Norfolk,33UH,Eastern,116,171,164,75,66,85,47,17.0
South Northamptonshire,34UG,E Midlands,140,,232,155,,72,31,
South Oxfordshire,38UD,S East,418,441,602,489,251,199,81,80.0
South Ribble,30UN,North West,51,36,,,127,155,142,101.0
South Shropshire,39UF,W Midlands,7,13,24,20,20,11,33,
South Somerset,40UD,S West,356,589,795,622,,360,90,58.0
South Staffordshire,41UF,W Midlands,48,82,106,90,48,80,47,22.0
South Tyneside UA,00CL,North East,415,420,603,623,,475,261,123.0
Southampton UA,00MS,S East,1132,5000,2071,2325,1465,1534,1381,520.0
Southend-on-Sea UA,00KF,Eastern,1132,2296,2089,1745,1036,1062,657,247.0
Southwark,00BE,London,1934,2848,2245,3375,,670,775,349.0
Spelthorne,43UH,S East,596,669,,723,673,252,164,113.0
St. Albans,26UG,Eastern,486,622,756,665,227,183,143,104.0
St. Edmundsbury,42UF,Eastern,760,854,817,104,522,542,234,138.0
St. Helens,00BZ,North West,47,48,,55,,40,10,7.0
Stafford,41UG,W Midlands,37,73,150,138,,64,29,25.0
Staffordshire Moorlands,41UH,W Midlands,26,21,37,31,27,26,11,11.0
Stevenage,26UH,Eastern,598,1052,993,795,,359,210,124.0
Stockport,00BS,North West,120,,,1167,322,274,131,63.0
Stockton-on-Tees UA,00EF,North East,39,64,,128,328,78,240,57.0
Stoke-on-Trent UA,00GL,W Midlands,250,200,,200,,500,415,119.0
Stratford-on-Avon,44UE,W Midlands,43,73,115,,,15,9,
Stroud,23UF,S West,51,257,450,350,,320,209,237.0
Suffolk Coastal,42UG,Eastern,165,181,429,417,318,163,22,23.0
Sunderland UA,00CM,North East,197,186,422,237,201,139,60,31.0
Surrey Heath,43UJ,S East,226,,312,107,102,84,19,10.0
Sutton,00BF,London,1651,2166,2055,860,474,1020,878,474.0
Swale,29UM,S East,738,976,882,530,260,252,114,58.0
Swindon UA,00HX,S West,440,1300,634,852,481,928,986,194.0
Tameside,00BT,North West,,1155,,815,1509,486,266,626.0
Tamworth,41UK,W Midlands,60,,340,330,227,153,94,56.0
Tandridge,43UK,S East,500,586,641,394,210,185,156,48.0
Taunton Deane,40UE,S West,248,352,437,343,136,133,176,51.0
Teesdale,20UH,North East,17,30,28,50,12,26,7,1.0
Teignbridge,18UH,S West,741,1591,560,412,272,158,122,59.0
Telford and Wrekin UA,00GF,W Midlands,1332,,,520,223,225,200,165.0
Tendring,22UN,Eastern,835,1538,1542,974,,279,196,85.0
Test Valley,24UN,S East,406,658,673,481,264,506,415,105.0
Tewkesbury,23UG,S West,115,150,,140,360,63,81,47.0
Thanet,29UN,S East,950,1271,2327,1222,452,320,253,111.0
Three Rivers,26UJ,Eastern,351,802,,1172,,115,99,56.0
Thurrock UA,00KG,Eastern,,2400,,1633,1272,2310,415,313.0
Tonbridge and Malling,29UP,S East,557,632,607,282,133,68,80,67.0
Torbay UA,00HH,S West,354,648,,741,383,,158,103.0
Torridge,18UK,S West,111,,157,,72,66,43,33.0
Tower Hamlets,00BG,London,,,2781,1490,1322,1134,884,"1,089"
Trafford,00BU,North West,122,,,51,,,107,15.0
Tunbridge Wells,29UQ,S East,688,695,734,381,168,113,107,65.0
Tynedale,35UF,North East,29,28,30,19,46,25,15,9.0
Uttlesford,22UQ,Eastern,250,372,400,450,,,120,0.0
Vale of White Horse,38UE,S East,464,386,428,444,216,138,75,52.0
