idClienteEprinsa,AñoMes,Identificador,idValue,NumLámparasTotal,NumLámparasMercurio,NumLámparasHalogenuros,NumLámparasFluorescentes,NumLámparasSodio,NumLámparasLED,NumLámparasOtros,Tipo,same_as_wikidata_type_of_electronic,Dirección,Descripción,IdSiguiente,CoordenadaX,UTM coordinates,CoordenadaY
1009,202406,NDA.ENE.007.1814186,1814186,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Paseo, 4",Puntos de luz - BELMEZ,1814186,306737,"30T 306737 4237921","4237921"
1009,202406,NDA.ENE.007.1814113,1814113,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Bélmez, 75",Puntos de luz - BELMEZ,1814113,307121,"30T 307121 4238235","4238235"
1009,202406,NDA.ENE.007.1814804,1814804,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Avenida de la Universidad, 14",Puntos de luz - BELMEZ,1814804,306886,"30T 306886 4237946","4237946"
1009,202406,NDA.ENE.007.1814551,1814551,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real {Doña Rama}, 17",Puntos de luz - BELMEZ,1814551,301024,"30T 301024 4232841","4232841"
1009,202406,NDA.ENE.007.1813893,1813893,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813893,306714,"30T 306714 4237781","4237781"
1009,202406,NDA.ENE.007.1814048,1814048,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Vinculo, 74",Puntos de luz - BELMEZ,1814048,306562,"30T 306562 4238904","4238904"
1009,202406,NDA.ENE.007.1814689,1814689,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Sevilla, 12",Puntos de luz - BELMEZ,1814689,300842,"30T 300842 4232886","4232886"
1009,202406,NDA.ENE.007.1813983,1813983,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Aduana, 4",Puntos de luz - BELMEZ,1813983,306739,"30T 306739 4238305","4238305"
1009,202406,NDA.ENE.007.1814093,1814093,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814093,307507,"30T 307507 4238232","4238232"
1009,202406,NDA.ENE.007.1813973,1813973,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Aduana, 27",Puntos de luz - BELMEZ,1813973,306644,"30T 306644 4238134","4238134"
1009,202406,NDA.ENE.007.1814248,1814248,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Avenida de la Universidad, 15",Puntos de luz - BELMEZ,1814248,306906,"30T 306906 4237891","4237891"
1009,202406,NDA.ENE.007.1814332,1814332,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Córdoba, 94",Puntos de luz - BELMEZ,1814332,307181,"30T 307181 4238051","4238051"
